,bot_in
1212,What city is the capital of Victoria?
1213,"Compared to other Australian cities, what is the size of Melbourne?"
1214,Where in Bass Straight is Victoria located?
1215,How does Melbourne rank as to population?
1216,How populous is Melbourne compared to other Australian states?
1217,What city is the capital of Australia?
1218,"Compared to other American cities, what is the size of Melbourne?"
1219,What is the term for the original Aboriginal people of Victoria?
1220,When did Great Britain claim Australia? 
1221,Where was Victoria first set to be located in Australia?
1222,Where was the first settlement in Victoria?
1223,When was Victoria first settled?
1224,What is the term for the original Aboriginal people of Canberra?
1225,When did Great Britain sell Australia?
1226,Where were the Koori first set to be located in Australia?
1227,Where was the first settlement in Canberra?
1228,When was the first Parliament House built in Victoria?
1229,How much Victorian farmland is farmed in grains?
1230,What percentage of farmland grows wheat?
1231,How much of Victoria's farmland grows hay?
1232,How much does Victoria produce in Australian pears?
1233,How many tonnes of tomatoes does Victoria produce?
1234,How much Victorian farmland is farmed in rye grass?
1235,What percentage of farmland grows beans?
1236,How much of Victoria's farmland is sold domestically?
1237,How much of Victoria produced Australian peaches?
1238,How many tonnes of potatoes does Victoria produce?
1239,When did Victoria enact its constitution?
1240,On what is Victoria's constitution based ?
1241,What group can amend the Victorian constitution?
1242,What are the exceptions in the constitution  that require special considerations to amend?
1243,What document formed the Parliament of Victoria?
1244,When did Victoria approve a referendum?
1245,On what is the Parliament of Victoria based?
1246,What group can amend the United Kingdom Parliament?
1247,What are the exceptions in the constitutions that fall under state responsibility?
1248,"What document formed the Parliament of ""entrenched"" provisions?"
1249,What is the weather type of Mallee and upper Wimmera?
1250,What does the average temperatures exceed in the summer?
1251,How cold does this region of Victoria get in the winner?
1252,What is Victoria's highest monthly temperature?
1253,When was the heatwave in which Hopetoun recorded its highest temperature?
1254,What is the weather type of Hopetoun and Melbourne?
1255,What is the median temperature in the winter?
1256,What is the median temperature in the summer?
1257,What is temperature does Hopetoun average in Feburary?
1258,When was the heatwave in which Wimmera recorded its highest temperature?
1259,What are public schools in Victoria?
1260,What organization runs the public schools in Victoria? 
1261,"Since students do not pay tuition, what do they have to pay for schooling in Victoria?"
1262,What church runs some private schools in Victoria?
1263,What government set standards do all schools have to meet?
1264,What are public banks in Victoria?
1265,What organization runs the waste management in Victoria?
1266,What is covered by the state in addition to tuition?
1267,What church runs public schools in Victoria?
1268,What government set standards do only select schools have to meet?
1269,What type of manufacturing plant is Victoria soon losing?
1270,When has Toyota said it will close its Victoria plant?
1271,When did Holden announce that it will close its Victoria plant?
1272,When will Ford's manufacturing plants close?
1273,What brand of car is manufactured in Broadmeadows?
1274,What type of manufacturing plant is Victoria getting soon?
1275,When has Toyota said it will change its Victoria plant into a plane factory?
1276,When did Holden announce that it will open its Victoria plant?
1277,When will Ford start building electric cars?
1278,What brand of tractor is manufactured in Broadmeadows?
1279,How high are Victoria's alpine regions?
1280,What is the highest peak in Victoria?
1281,How high is Victoria's Mount Bogong?
1282,What type of topological systems are found in numbers in Victoria?
1283,What is the Victoria state bird?
1284,How high are Victoria's river regions?
1285,What is the snowiest peak in Victoria?
1286,How high is Victoria's Mount Gippsland? 
1287,What is the Victoria state fish?
1288,What is the Victoria state color?
1289,Where is the coldest section of Victoria?
1290,Of what mountain system are the Victorian Alps a part?
1291,In what direction does the mountain system extend?
1292,What is the temperature in the highest portion of the mountain range in winter?
1293,What is the lowest recorded temperature in Victoria?
1294,Where is the highest section of Victoria?
1295,Of what mountain system are the Omeo Alps a part?
1296,In what direction does the river system extend?
1297,What is the temperature in the valley of the mountain range in winter?
1298,What is the lowest recorded wind chill in Victoria?
1299,Who owns the rail lines in Victoria?
1300,Which rail line operates in Melbourne?
1301,What entity owns V/Line?
1302,What type of rail line is Pacific National?
1303,What kind of rail system is Metro Trains Melbourne?
1304,Who owns the rail cars in Victoria?
1305,Which rail line operates Around the island?
1306,What entity is sponsored by V/Line in the Olympics?
1307,What operator transports cargo in Melbourne?
1308,What operator is in mainland Australia?
1309,How many seats does Victoria have in the Australian House of Representatives?
1310,How many seats does Victoria have in the Senate?
1311,What is the lower house of the Victorian parliament called?
1312,What is the upper house of the Parliament of Victoria called?
1313,Who is the current Governor of Victoria?
1314,How many seats does Australia have in the House of Representatives?
1315,How many seats does Australia have in the Senate?
1316,What is the lower level of a the Australian House of Representatives called?
1317,What is the upper level of the Australian House of Representatives called?
1318,Who is the current President of Victoria?
1319,On what date was Victoria declared independent from New South Wales?
1320,When was gold found near Ballarat?
1321,What did the finding of gold in Victoria cause?
1322,How much did the population of Victoria increase in ten years after the discovery of gold?
1323,How much gold did Victoria produce in the years of 1851-1860?
1324,When were writs issued for the election of the New South Wales president?
1325,When was gold found near Birmingham?
1326,What did the new railroad in Victoria trigger?
1327,How much did the population New South Wales increase in ten years after the discovery of gold?
1328,How much gold did Victoria produce in 1860?
1329,By August 2010 how many public schools did Victoria have?
1330,How many Catholic schools were in Victoria?
1331,How many students were enrolled in public schools in Victoria?
1332,How many full time teachers does Victoria have?
1333,What percentage of private school students go to Catholic schools?
1334,By August 2010 how many trade schools did Victoria have?
1335,How many Catholic schools got government assistance?
1336,How many students were enrolled in public schools outside Victoria?
1337,How many full time janitors does Victoria have?
1338,What percentage of private school students go to Lutheran schools?
1339,What state in Australia is the center of dairy farming?
1340,How many dairy cows are there in Australia?
1341,What percentage of Australia's dairy cattle are found in Victoria?
1342,How much of Australia's milk is produced in Victoria?
1343,To where is most of the abalone and lobster caught in Victorian waters shipped?
1344,What state in Australia invented dairy farming?
1345,How many spotted dairy cows are there in Australia?
1346,What percentage of Australia's dairy farms are found in Victoria?
1347,What percentage of Australia's veal is comes from Victoria?
1348,To where is most of the milk and beef from Victoria exported to?
1349,What is the gauge of the Victorian rail lines?
1350,To what gauge have some lines been changed in the west of Victoria?
1351,What gauge of rail lines do two tourist lines use?
1352,Where were the narrow gauge rail lines built in Victoria?
1353,How many narrow gauge rail lines were previously government owned?
1354,What is the gauge of the Victorian power lines?
1355,To what gauge have some lines been changed north of Victoria?
1356,What gauge of rail lines are used in small fright operators?
1357,Where were the narrow gauge rail lines demolished in Victoria?
1358,How many narrow gauge rail lines were built before 1900?
1359,When was the colony of New South Wales founded?
1360,What was the name of the eastern half of the colony of 1788?
1361,What name was given to the western half of the colony?
1362,Where was the location of the colonial government that administered the new colony?
1363,When did Captain Daniel Woodriff visit New South Wales?
1364,What name was given to the western half of Wales?
1365,Where was the location of the administration of Calcutta?
1366,Who feared that Holland might establish their own settlement?
1367,When was there a armed protest at Ballarat about mining taxes?
1368,What was the incident over taxes at Ballarat called?
1369,What armed group stopped the uprising at Ballarat?
1370,What did colonial authorities  reduce because of the Ballarat revolt?
1371,The passage of what act gave Victoria its own government?
1372,When was there a armed protest at Eureka Stockade about mining taxes?
1373,What armed group stopped the colonial authorities at Ballarat?
1374,What did colonial authorities reduce because of the Colony of Victoria Act of 1855?
1375,What did some leaders of the British rebellion become?
1376,Who protested against Parliament taxes?
1377,What does the Premier of Victoria need to lead in the Legislative Assembly? 
1378,Who sets the legislative agenda in Victoria?
1379,Who can be in the Victorian cabinet?
1380,Who is the current Premier of Victoria?
1381,How are Victorian cabinet members chosen?
1382,What does the secretary need to lead in the Legislative Assembly?
1383,Who sets the judicial agenda in Victoria?
1384,Who can be in the Victorian law enforcement?
1385,Who is the first Premier of Victoria?
1386,How are Victorian education members chosen?
1387,How much did the gross agricultural product increase from 2003-04?
1388,What percentage was the increase of agricultural products in 2003-04?
1389,How many farms are there in Victoria?
1390,How much land do farms use in Victoria?
1391,How much percentage of Victoria's land is taken up by farms?
1392,How much did the gross agricultural product increase since 2004?
1393,What percentage was the increase of agricultural products since 2004?
1394,How many farms are there west of Melbourne?
1395,How much land do farms crop rotate each year in Victoria?
1396,How much percentage of Victoria's land is taken up by consumable crops?
1397,What part do events in Victoria's economy  play? 
1398,"Besides cultural events, what other tourist attraction does Victoria have?"
1399,On where are most tourist attractions focused in Victoria?
1400,Where do other tourist events happen in Victoria outside of Melbourne?
1401,What event is held at Bells Beach in Victoria?
1402,What part does fishing play in Victoria's economy play?
1403,"Besides cultural events, what other television programs does Victoria have?"
1404,Where is the best Italian in Victoria?
1405,Where do other religious experiences happen in Victoria outside of Melbourne?
1406,What event is held at Port Sunshine in Victoria?
